dataset,model,label,score,positives,negatives,auroc_directional,auprc,run
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score,31,137,0.8465975983046857,0.6717677406287996,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score,31,137,0.6562279255945374,0.1440423729130345,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,topology_risk_score,31,137,0.5522721921356251,0.1611333888565001,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score,31,137,0.5827643042147399,0.2243186712318509,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score,31,137,0.5264892865552154,0.193704892367592,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy,42,126,0.655328798185941,0.1995427677994915,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy,42,126,0.5028344671201813,0.2401526536515233,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty,42,126,0.7328042328042328,0.1734031711824329,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,foreground_area_frac,42,126,0.8907785336356765,0.1469364324151609,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,boundary_risk_score,42,126,0.8934240362811791,0.8220556819077148,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,boundary_overconfidence_score,42,126,0.9290438397581254,0.1438605689556218,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,boundary_abnormality_score,42,126,0.8201058201058201,0.8222462112114314,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,boundary_dual_risk_score,42,126,0.7118291761148904,0.6049668717612453,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,uncertainty_cluster_score,42,126,0.7290249433106576,0.1731603446516882,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,topology_risk_score,42,126,0.6555177626606198,0.1874354558973192,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,sfrm_composite_score,42,126,0.5334467120181406,0.2338693781858383,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,low_boundary_dice_le_q25,sfrm_balanced_score,42,126,0.611111111111111,0.2052786489430322,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,global_mean_entropy,42,126,0.737339380196523,0.5136050989783977,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,global_max_entropy,42,126,0.7660619803476947,0.1644609331665518,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,global_mean_margin_uncertainty,42,126,0.7617157974300832,0.5903157876094032,stage1_review_budget_monuseg_proto_seed42
MoNuSeg,prototype_seed42,high_error_ge_q0.75,foreground_area_frac,42,126,0.6717687074829932,0.641092789789953,stage1_review_budget_monuseg_proto_seed42
