patch_id,site,feat__global_uncertainty__mean_entropy,feat__global_uncertainty__max_entropy,feat__global_uncertainty__mean_margin_uncertainty,feat__global_uncertainty__max_margin_uncertainty,feat__global_uncertainty__foreground_area_frac,feat__global_uncertainty__mean_cached_uncertainty,feat__global_uncertainty__max_cached_uncertainty,feat__boundary_risk__pred_boundary_area_frac,feat__boundary_risk__boundary_mean_entropy,feat__boundary_risk__boundary_max_entropy,feat__boundary_risk__boundary_mean_margin_uncertainty,feat__boundary_risk__boundary_high_entropy_frac,feat__boundary_risk__boundary_mean_cached_uncertainty,feat__boundary_risk__boundary_max_cached_uncertainty,feat__uncertainty_cluster__high_uncertainty_area_frac,feat__uncertainty_cluster__high_uncertainty_threshold,feat__uncertainty_cluster__high_uncertainty_component_count,feat__uncertainty_cluster__high_uncertainty_largest_component_area_frac,feat__uncertainty_cluster__high_uncertainty_small_component_count,feat__topology_risk__component_count,feat__topology_risk__largest_component_area_frac,feat__topology_risk__small_component_count,feat__topology_risk__mean_component_area_frac,feat__topology_risk__component_area_cv,feat__topology_risk__euler_number,feat__topology_risk__threshold_component_count_std,feat__topology_risk__threshold_area_frac_std,feat__topology_risk__threshold_euler_std,feat__anatomical_topological_consistency__opening_residual_frac,feat__anatomical_topological_consistency__closing_residual_frac,eval__dice,eval__boundary_dice,eval__error_area_frac,eval__boundary_error_area_frac,eval__lecr_uncertainty,eval__lecr_boundary_error
site18-FeTS2022_00000,site18,0.6756455302238464,0.6931471824645996,0.8894845843315125,1.0,0.006544690860215053,0.3119209110736847,0.61767578125,0.0019685259856630825,0.6897423267364502,0.6931471824645996,0.9330269694328308,0.22384068278805122,0.33655983209609985,0.48828125,0.15033075716845878,0.44677734375,4.0,0.14943794802867383,0.0,5.0,0.0065396505376344085,4.0,0.0013089381720430109,1.9980748488409512,3.0,0.0,0.2507515150494134,3.39934634239519,5.264336917562724e-05,3.707437275985663e-05,0.9449263841847438,0.6827238112114209,0.0007139336917562724,0.0005981182795698924,0.0008278244423526004,0.837778475041767
site18-FeTS2022_00002,site18,0.6801056265830994,0.6931471824645996,0.9028834700584412,1.0,0.015476590501792115,0.31011447310447693,0.6181640625,0.003820564516129032,0.6876569986343384,0.6931471824645996,0.9287864565849304,0.2564350630313691,0.32672208547592163,0.54248046875,0.15031552419354838,0.43212890625,6.0,0.13963821684587813,1.0,4.0,0.015476142473118279,3.0,0.0038691476254480287,1.731983953221648,11.0,0.9428090415820634,0.2707588859334719,3.559026084010437,7.26926523297491e-05,7.538082437275986e-05,0.8252907056322751,0.37004040929251836,0.006433579749103943,0.002992383512544803,0.005726641321908037,0.46511951809665014
site18-FeTS2022_00003,site18,0.6731511950492859,0.6931471824645996,0.8840004205703735,1.0,0.010824932795698924,0.3201351761817932,0.6259765625,0.0026360887096774192,0.6765979528427124,0.6931471824645996,0.8989458680152893,0.19048226046314,0.35418346524238586,0.59326171875,0.15044242831541219,0.45166015625,6.0,0.13606429211469534,3.0,1.0,0.010824932795698924,0.0,0.010824932795698924,0.0,0.0,0.4714045207910317,0.24719861280713518,2.0548046676563256,2.5985663082437275e-05,4.401881720430107e-05,0.9761899899940902,0.8010374689192296,0.0005224014336917563,0.0005192652329749104,0.000571973889532383,0.9939965694469555
site18-FeTS2022_00005,site18,0.6817585229873657,0.6931471824645996,0.9076701998710632,1.0,0.0136396729390681,0.307219535112381,0.6142578125,0.0033640232974910395,0.688944399356842,0.6931471824645996,0.9233050346374512,0.15056269561164015,0.2626055181026459,0.485107421875,0.1503738799283154,0.429931640625,3.0,0.1457627688172043,0.0,6.0,0.013627128136200716,5.0,0.0022732788231780167,2.2336007693432047,6.0,1.4142135623730951,0.2759460890784175,2.0548046676563256,6.12679211469534e-05,4.2338709677419356e-05,0.9521410783669757,0.6598131171291756,0.00132168458781362,0.0010526433691756272,0.001073742423812722,0.7964406779593521
site18-FeTS2022_00006,site18,0.68133145570755,0.6931471824645996,0.9062593579292297,1.0,0.015203853046594983,0.31512486934661865,0.63330078125,0.0031210797491039426,0.6812358498573303,0.6931471824645996,0.9065449237823486,0.15826305401040733,0.33767572045326233,0.57861328125,0.15051400089605735,0.4306640625,2.0,0.1327837141577061,0.0,1.0,0.015203853046594983,0.0,0.015203853046594983,0.0,2.0,0.9428090415820634,0.27292517276293043,5.656854249492381,3.214605734767025e-05,3.337813620071685e-05,0.9791815122181249,0.8025104897574089,0.0006381048387096775,0.0006282482078853047,0.0007070487323840518,0.9845532736355178
site18-FeTS2022_00008,site18,0.6039025783538818,0.6931471824645996,0.7346682548522949,1.0,0.0022441756272401432,0.366315633058548,0.65087890625,0.0008951612903225806,0.6919394731521606,0.6931471824645996,0.9605079293251038,0.5779529529529529,0.23100560903549194,0.344970703125,0.15032806899641576,0.54150390625,7.0,0.14280947580645162,2.0,2.0,0.002240255376344086,1.0,0.0011220878136200716,0.9965062886704281,0.0,0.0,0.13969138218575092,1.4142135623730951,1.9153225806451612e-05,1.5008960573476703e-05,0.9163073406412897,0.682776624943552,0.00036088709677419353,0.000260752688172043,0.00026084373493142076,0.7225325884319512
site18-FeTS2022_00009,site18,0.6058835387229919,0.6931471824645996,0.7368190884590149,1.0,0.0028004032258064516,0.37007245421409607,0.6474609375,0.001468189964157706,0.6922281384468079,0.6931471824645996,0.9665839672088623,0.7448886176380836,0.2822358012199402,0.447998046875,0.1510293458781362,0.54052734375,6.0,0.14410091845878137,2.0,4.0,0.0015920698924731182,2.0,0.0007001008064516129,1.0184683716622596,2.0,0.0,0.13722162412969302,0.4714045207910317,3.774641577060932e-05,3.8978494623655915e-05,0.8568105995618019,0.5655447298510277,0.0008412858422939068,0.0006515456989247311,0.0006270627090312043,0.7744641192813945
site18-FeTS2022_00011,site18,0.6684285402297974,0.6931471824645996,0.8686962127685547,1.0,0.007996751792114695,0.33158278465270996,0.65234375,0.002164874551971326,0.6876158118247986,0.6931471824645996,0.9112899303436279,0.14098716887417218,0.26707974076271057,0.52685546875,0.15045553315412186,0.471923828125,3.0,0.15004950716845877,1.0,1.0,0.007996751792114695,0.0,0.007996751792114695,0.0,-1.0,0.4714045207910317,0.22575910413742234,2.6246692913372702,3.2482078853046595e-05,2.7441756272401434e-05,0.9560457412469674,0.7010120995365624,0.0006970206093189964,0.0006599462365591398,0.0005191840127206431,0.9468102201358379
site18-FeTS2022_00012,site18,0.6784408092498779,0.6931471824645996,0.8923447728157043,1.0,0.02910752688172043,0.32909131050109863,0.62451171875,0.005203517025089606,0.6883108615875244,0.6931471824645996,0.9186949133872986,0.17037260262177928,0.35959726572036743,0.52392578125,0.1501842517921147,0.44287109375,5.0,0.14717372311827956,1.0,3.0,0.029107078853046597,2.0,0.009702508960573477,1.4141809106305627,37.0,0.0,0.24767781706592104,6.018490028422597,5.835573476702509e-05,0.00016745071684587813,0.9746696939549125,0.7136117946682066,0.0014857750896057347,0.0013938172043010753,0.0015903844713073066,0.9381078024806776
site18-FeTS2022_00014,site18,0.5765039324760437,0.6931471824645996,0.6871877312660217,1.0,0.0027532482078853047,0.3831782639026642,0.66650390625,0.0012908826164874552,0.6909417510032654,0.6931471824645996,0.9440547227859497,0.45232104121475053,0.23600740730762482,0.459716796875,0.15078483422939068,0.5615234375,7.0,0.1446089829749104,3.0,5.0,0.002740255376344086,4.0,0.000550649641577061,1.9882104776088696,3.0,0.0,0.12863368475692824,1.632993161855452,3.528225806451613e-05,3.5730286738351255e-05,0.7135798153772485,0.28270533903369716,0.0020191532258064518,0.0009054659498207886,0.0011597695478460296,0.44843845342847705
site18-FeTS2022_00016,site18,0.6680088639259338,0.6931471824645996,0.8706867694854736,1.0,0.007298051075268817,0.32220619916915894,0.6279296875,0.002310931899641577,0.6916565895080566,0.6931471824645996,0.95457923412323,0.24912756882512602,0.2733211815357208,0.457275390625,0.1505491711469534,0.470703125,3.0,0.14996225358422938,1.0,3.0,0.007297043010752688,2.0,0.002432683691756272,1.413920554950875,4.0,1.4142135623730951,0.22722243638062414,2.6246692913372702,3.5170250896057345e-05,3.808243727598566e-05,0.9021280860111077,0.5610190508408048,0.0015314740143369176,0.0010862455197132616,0.00136981759081044,0.7092810648671887
site18-FeTS2022_00017,site18,0.6594141125679016,0.6931471824645996,0.8507726192474365,1.0,0.011290882616487455,0.330034077167511,0.6376953125,0.003000448028673835,0.6918401122093201,0.6931471824645996,0.9590930342674255,0.380954158578468,0.2802528738975525,0.443603515625,0.150381832437276,0.486083984375,2.0,0.15005230734767025,0.0,4.0,0.01125448028673835,3.0,0.002822720654121864,1.7246128613639133,2.0,0.4714045207910317,0.21037771047561923,2.6246692913372702,5.0851254480286736e-05,5.4211469534050176e-05,0.9584894350367359,0.7183090695028531,0.0009307795698924731,0.0008444220430107527,0.0007659103773375534,0.9072202165955809
site18-FeTS2022_00018,site18,0.6815130114555359,0.6931471824645996,0.9126604795455933,1.0,0.017078181003584228,0.30507194995880127,0.61865234375,0.0035161290322580645,0.6912432312965393,0.6931471824645996,0.9522054195404053,0.24350152905198777,0.31249570846557617,0.495361328125,0.15000638440860214,0.420166015625,7.0,0.13556530017921148,1.0,2.0,0.01707728494623656,1.0,0.008539090501792114,0.9998950640751867,13.0,0.9428090415820634,0.2921336270473882,3.0912061651652345,3.203405017921147e-05,5.4211469534050176e-05,0.9660512285841408,0.7215070361327176,0.0011889560931899641,0.0010423387096774193,0.0012803960850586084,0.8766839378155752
site18-FeTS2022_00019,site18,0.6773167848587036,0.6931471824645996,0.8923371434211731,1.0,0.017109431003584228,0.32115551829338074,0.619140625,0.004337253584229391,0.684787929058075,0.6931471824645996,0.9119235277175903,0.18712393151357073,0.3290458023548126,0.552734375,0.15062455197132615,0.44677734375,3.0,0.14357034050179213,0.0,9.0,0.017017025089605734,8.0,0.0019010478892871364,2.81125284203834,10.0,0.4714045207910317,0.2531443390065528,2.8674417556808756,8.938172043010753e-05,8.882168458781362e-05,0.9216568047337543,0.5542877469496603,0.002595206093189964,0.0018117159498207886,0.0026375545380890146,0.6981009926599132
site18-FeTS2022_00020,site18,0.6731500625610352,0.6931471824645996,0.8830270171165466,1.0,0.007333557347670251,0.31800246238708496,0.6279296875,0.002385864695340502,0.6896751523017883,0.6931471824645996,0.9299169182777405,0.17914651894277264,0.28266191482543945,0.491455078125,0.1503046594982079,0.45751953125,7.0,0.1431391129032258,1.0,4.0,0.007325044802867384,3.0,0.0018333893369175628,1.7293710914902107,4.0,0.0,0.24020944994898985,3.559026084010437,5.521953405017921e-05,3.808243727598566e-05,0.9258263886120452,0.6252582774791482,0.0010417786738351254,0.0008259408602150538,0.0009713386900360896,0.792817976553136
site18-FeTS2022_00021,site18,0.6311324834823608,0.6931471824645996,0.7825638651847839,1.0,0.007138104838709677,0.3636554777622223,0.64794921875,0.003408266129032258,0.6903968453407288,0.6931471824645996,0.9418305158615112,0.40421965887804395,0.2484312355518341,0.54248046875,0.1503035394265233,0.51904296875,9.0,0.14327352150537634,0.0,4.0,0.00674451164874552,2.0,0.0017845262096774193,1.6071165193354133,-15.0,0.4714045207910317,0.15061781256756418,0.9428090415820634,9.599014336917563e-05,0.00011951164874551971,0.7373209838617565,0.33856209150415023,0.0045012320788530465,0.0027952508960573477,0.0024228291853213395,0.620996839772511
