dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc,run
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,0,42,126,0.9986772486772488,0.9986772486772488,0.9961867550130692,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,0,42,126,0.5020786092214664,0.5020786092214664,0.2524763207484061,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,0,42,126,0.9998110355253212,0.9998110355253212,0.9994462901439646,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,0,42,126,0.9996220710506424,0.9996220710506424,0.9989177489177488,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,0,42,126,0.460978835978836,0.539021164021164,0.237472828622449,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,0,42,126,0.4921579743008314,0.5078420256991686,0.2554600186902361,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::boundary_abnormality_score,predefined_score,none,0,42,126,0.5359977324263039,0.5359977324263039,0.2786661340531623,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::boundary_dual_risk_score,predefined_score,none,0,42,126,0.5254157218442933,0.5254157218442933,0.2595198430500253,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::uncertainty_cluster_score,predefined_score,none,0,42,126,0.994520030234316,0.994520030234316,0.9847407198234726,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::topology_risk_score,predefined_score,none,0,42,126,0.9843159486016628,0.9843159486016628,0.957334022112898,stage3_predictor_monuseg_point_seed42
