dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction,run
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,168,0.2,34,42,34,0.8095238095238095,1.0,4.047619047619048,0.0597014925373134,0.7611940298507462,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,168,0.3,51,42,42,1.0,0.8235294117647058,3.333333333333333,0.0,1.0,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.0566037735849056,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,168,0.1,17,42,2,0.0476190476190476,0.1176470588235294,0.4761904761904761,0.2649006622516556,-0.0596026490066226,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,168,0.2,34,42,12,0.2857142857142857,0.3529411764705882,1.4285714285714284,0.2238805970149253,0.1044776119402984,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,168,0.3,51,42,14,0.3333333333333333,0.2745098039215686,1.1111111111111112,0.2393162393162393,0.0427350427350426,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.2,34,42,34,0.8095238095238095,1.0,4.047619047619048,0.0597014925373134,0.7611940298507462,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.3,51,42,42,1.0,0.8235294117647058,3.333333333333333,0.0,1.0,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,168,0.2,34,42,34,0.8095238095238095,1.0,4.047619047619048,0.0597014925373134,0.7611940298507462,stage3_predictor_monuseg_point_seed42
