dataset,model,label,score,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy,168,0.1,17,42,1,0.023809523809523808,0.058823529411764705,0.23809523809523808,0.271523178807947,-0.08609271523178808
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy,168,0.2,34,42,5,0.11904761904761904,0.14705882352941177,0.5952380952380951,0.27611940298507465,-0.10447761194029859
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy,168,0.3,51,42,12,0.2857142857142857,0.23529411764705882,0.9523809523809523,0.2564102564102564,-0.02564102564102555
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.05660377358490565
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy,168,0.1,17,42,0,0.0,0.0,0.0,0.2781456953642384,-0.11258278145695355
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy,168,0.2,34,42,3,0.07142857142857142,0.08823529411764706,0.3571428571428571,0.291044776119403,-0.16417910447761197
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy,168,0.3,51,42,13,0.30952380952380953,0.2549019607843137,1.0317460317460319,0.24786324786324787,0.008547008547008517
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.05660377358490565
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty,168,0.1,17,42,0,0.0,0.0,0.0,0.2781456953642384,-0.11258278145695355
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty,168,0.2,34,42,2,0.047619047619047616,0.058823529411764705,0.23809523809523808,0.29850746268656714,-0.19402985074626855
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty,168,0.3,51,42,7,0.16666666666666666,0.13725490196078433,0.5555555555555556,0.29914529914529914,-0.19658119658119655
monuseg,prototype_seed42,low_boundary_dice_le_q25,foreground_area_frac,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.05660377358490565
