dataset,variant,patch_id,baseline_dice,dice,boundary_dice,aji,pq,confounder_fpr
cryonuseg,drop_Fb,Human_Larynx_01,0.7593309722618414,0.7680619115938843,0.5432543630841805,0.18191438667714604,0.12916827826312577,0.6352227393617021
cryonuseg,drop_Fb,Human_Larynx_02,0.6330613711454547,0.5988913787006823,0.5448176683729183,0.34101001253087093,0.22068375444097355,0.26342147435897434
cryonuseg,drop_Fb,Human_Larynx_03,0.7954011025020282,0.8232311499421007,0.6914125983231105,0.48600375234521576,0.3240186375404115,0.31774009146341464
cryonuseg,drop_Fb,Human_Pancreas_01,0.6975463569959753,0.7307928511208056,0.5883195290335914,0.3348014560813627,0.18115846755682294,0.43599076704545453
cryonuseg,drop_Fb,Human_Pancreas_02,0.7563202421418658,0.7867857475612107,0.7111200970484117,0.42008467848637204,0.25203073101873524,0.35586734693877553
cryonuseg,drop_Fb,Human_Pancreas_03,0.6698161809037829,0.6928637140232347,0.5328984843582446,0.27142227825796356,0.15034767187760392,0.46407948369565216
cryonuseg,drop_Fs,Human_AdrenalGland_01,0.7805539225295896,0.8215923451889843,0.6740397117133918,0.5092643051771117,0.2931421265176125,0.36108993902439024
cryonuseg,drop_Fs,Human_AdrenalGland_02,0.8678194018458034,0.8775231360840118,0.7646962143212558,0.5886012217771711,0.4510330385740855,0.5041360294117647
cryonuseg,drop_Fs,Human_AdrenalGland_03,0.7266106526187912,0.6829726892407155,0.5733270052212885,0.34873940700352923,0.17129747592326044,0.21319444444444444
cryonuseg,drop_Fs,Human_Larynx_01,0.7593309722618414,0.7699107128765134,0.5483028720629664,0.18744338025353152,0.1357704374768314,0.6310671542553191
cryonuseg,drop_Fs,Human_Larynx_02,0.6330613711454547,0.5943630131995239,0.5421481219225417,0.33888231202021063,0.22012002931972974,0.2614182692307692
cryonuseg,drop_Fs,Human_Larynx_03,0.7954011025020282,0.8205979381445149,0.691463700783996,0.49962122968940836,0.3454762407504559,0.3061166158536585
cryonuseg,drop_Fs,Human_Pancreas_01,0.6975463569959753,0.7321212376433279,0.5905625423068237,0.3395997574287447,0.17570613009202257,0.43004261363636365
cryonuseg,drop_Fs,Human_Pancreas_02,0.7563202421418658,0.7880787567002612,0.7137418143055854,0.4285659317403517,0.2594492302167812,0.34980867346938777
cryonuseg,drop_Fs,Human_Pancreas_03,0.6698161809037829,0.6933175378370324,0.5353042931283722,0.2713468986291265,0.15357413221139796,0.45473845108695654
