dataset,variant,patch_id,baseline_dice,dice,boundary_dice,aji,pq,confounder_fpr
consep,full,train_1_y512_x128,0.7009800465356378,0.7734555242252837,0.694753524615529,0.38204685354944423,0.3092579189413203,0.41207107843137253
consep,full,train_1_y512_x256,0.8320082831053064,0.8583676029836956,0.8103089101844821,0.46159331703341483,0.3856710215876672,0.45808699324324326
consep,full,train_1_y512_x384,0.8090807331754265,0.8464175180543565,0.7983441408065124,0.4542418816241591,0.41441904666830803,0.42807262569832405
consep,full,train_1_y512_x512,0.7345258515082846,0.7921790675051218,0.7458262350945628,0.5182001343183344,0.42934140622130323,0.34743788819875776
consep,full,train_1_y512_x640,0.699515240057776,0.823092062104619,0.7706443269128261,0.6337977849231868,0.5609598827502732,0.34195859872611467
consep,full,train_1_y640_x0,0.6390625490885016,0.7732219902581121,0.6504816955696252,0.3968815615522202,0.3317434095048133,0.3847078402366864
consep,full,train_1_y640_x128,0.6307563727554085,0.7642038169904971,0.6672660400503995,0.39195390577197636,0.39885361615186543,0.4052734375
consep,full,train_1_y640_x256,0.7995857783928231,0.8592157108020563,0.8046406826798761,0.5835396652471031,0.5279160230463565,0.34155868902439024
consep,full,train_1_y640_x384,0.7671133271020717,0.8391227483403931,0.8043807444455247,0.5826527525710828,0.5173759617983885,0.4207940251572327
consep,full,train_1_y640_x512,0.7125815174184159,0.7952652755694055,0.7473422614947283,0.5618560467665327,0.4756029524465029,0.30270965189873417
consep,full,train_1_y640_x640,0.6866840731092024,0.8101704386710804,0.7428595151123263,0.6358899350946156,0.5373455899224976,0.220625
consep,full,train_3_y0_x0,0.741396544339064,0.7454343130204051,0.5914387031421244,0.28372757447166086,0.2043935375420188,0.5190135542168675
consep,full,train_3_y0_x128,0.739943173322342,0.7333452402224206,0.6171239837410534,0.34844178989451374,0.27674520789301,0.4148065476190476
consep,full,train_3_y0_x256,0.7075252743806006,0.7005208333344802,0.628393305693707,0.39995710915719496,0.28716843107455053,0.37704613095238093
consep,full,train_3_y0_x384,0.7232637732085796,0.7135039717572418,0.6054647666371932,0.30304772857964346,0.20330321227532935,0.3997624269005848
consep,full,train_3_y0_x512,0.7679497522191773,0.7866761565842372,0.6648574561412696,0.3010222979479961,0.23210867826158346,0.4402624309392265
consep,full,train_3_y0_x640,0.7191359250299045,0.7510252836959943,0.6427974366131137,0.3983853006681514,0.322439158582969,0.3931800314465409
consep,full,train_3_y128_x0,0.7265475347038061,0.7245738879521567,0.5438967632760104,0.24234414874225302,0.08935977172507142,0.5947974860335196
consep,full,train_3_y128_x128,0.7488196178287178,0.7370446017200944,0.5862440074366837,0.36238918009448,0.21465754224261369,0.5997159090909091
consep,full,train_3_y128_x256,0.72524816573234,0.7293831902402582,0.6053867328774076,0.42257934913619927,0.2998687318696651,0.5121837797619048
consep,full,train_3_y128_x384,0.7138161439818035,0.7309402060802966,0.5592171859195838,0.2611640417395813,0.1585084877081419,0.4990607923497268
consep,full,train_3_y128_x512,0.7790647790653366,0.8074709212070805,0.6197478991607734,0.28542920299643865,0.24940508208149498,0.5765716374269005
consep,full,train_3_y128_x640,0.7865465227587334,0.8307535186549939,0.6744022996575951,0.48167588783278953,0.3773043127102477,0.5663265306122449
