dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,44,0.05,3,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,44,0.1,5,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,44,0.2,9,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,44,0.3,14,0,0,nan,0.0,nan,0.0,nan
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,44,0.05,3,11,0,0.0,0.0,0.0,0.2682926829268293,-0.07317073170731714
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,44,0.1,5,11,2,0.18181818181818182,0.4,1.8181818181818181,0.23076923076923078,0.07692307692307687
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,44,0.2,9,11,3,0.2727272727272727,0.3333333333333333,1.3636363636363635,0.22857142857142856,0.08571428571428574
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,44,0.3,14,11,5,0.45454545454545453,0.35714285714285715,1.5151515151515151,0.2,0.19999999999999996
fets,single_sites18_19_20,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,44,0.05,3,11,0,0.0,0.0,0.0,0.2682926829268293,-0.07317073170731714
