dataset,model,label,score,ranking_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__area_ranked,area_stratified_ranking,504,0.1,54,199,34,0.1708542713567839,0.6296296296296297,1.708542713567839,0.36666666666666664,0.07135678391959799
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__area_ranked,area_stratified_ranking,504,0.2,104,199,52,0.2613065326633166,0.5,1.306532663316583,0.3675,0.06924623115577888
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy__area_ranked,area_stratified_ranking,504,0.3,154,199,77,0.3869346733668342,0.5,1.289782244556114,0.3485714285714286,0.11718592964824115
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__area_ranked,area_stratified_ranking,504,0.05,29,199,14,0.07035175879396985,0.4827586206896552,1.4070351758793969,0.3894736842105263,0.013594287225601631
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__area_ranked,area_stratified_ranking,504,0.1,54,199,29,0.1457286432160804,0.5370370370370371,1.457286432160804,0.37777777777777777,0.04321608040201008
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__area_ranked,area_stratified_ranking,504,0.2,104,199,54,0.271356783919598,0.5192307692307693,1.3567839195979898,0.3625,0.08190954773869341
consep,prototype_seed42,bad_dice_lt_0.65,global_max_entropy__area_ranked,area_stratified_ranking,504,0.3,154,199,71,0.35678391959798994,0.461038961038961,1.1892797319933,0.3657142857142857,0.07376884422110552
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,area_stratified_ranking,504,0.05,29,199,20,0.10050251256281408,0.6896551724137931,2.0100502512562812,0.37684210526315787,0.045585823856122754
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,area_stratified_ranking,504,0.1,54,199,32,0.16080402010050251,0.5925925925925926,1.608040201005025,0.3711111111111111,0.060100502512562826
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,area_stratified_ranking,504,0.2,104,199,55,0.27638190954773867,0.5288461538461539,1.3819095477386933,0.36,0.08824120603015073
consep,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty__area_ranked,area_stratified_ranking,504,0.3,154,199,77,0.3869346733668342,0.5,1.289782244556114,0.3485714285714286,0.11718592964824115
consep,prototype_seed42,bad_dice_lt_0.65,foreground_area_frac__area_ranked,area_stratified_ranking,504,0.05,29,199,8,0.04020100502512563,0.27586206896551724,0.8040201005025125,0.40210526315789474,-0.01839724940491938
consep,prototype_seed42,bad_dice_lt_0.65,foreground_area_frac__area_ranked,area_stratified_ranking,504,0.1,54,199,17,0.08542713567839195,0.3148148148148148,0.8542713567839195,0.40444444444444444,-0.024321608040201115
consep,prototype_seed42,bad_dice_lt_0.65,foreground_area_frac__area_ranked,area_stratified_ranking,504,0.2,104,199,38,0.19095477386934673,0.36538461538461536,0.9547738693467336,0.4025,-0.019396984924623162
consep,prototype_seed42,bad_dice_lt_0.65,foreground_area_frac__area_ranked,area_stratified_ranking,504,0.3,154,199,59,0.2964824120603015,0.38311688311688313,0.9882747068676717,0.4,-0.013065326633165952
consep,prototype_seed42,bad_dice_lt_0.65,boundary_risk_score__area_ranked,area_stratified_ranking,504,0.05,29,199,18,0.09045226130653267,0.6206896551724138,1.8090452261306533,0.38105263157894737,0.034921978312615676
consep,prototype_seed42,bad_dice_lt_0.65,boundary_risk_score__area_ranked,area_stratified_ranking,504,0.1,54,199,29,0.1457286432160804,0.5370370370370371,1.457286432160804,0.37777777777777777,0.04321608040201008
consep,prototype_seed42,bad_dice_lt_0.65,boundary_risk_score__area_ranked,area_stratified_ranking,504,0.2,104,199,53,0.2663316582914573,0.5096153846153846,1.3316582914572863,0.365,0.0755778894472362
consep,prototype_seed42,bad_dice_lt_0.65,boundary_risk_score__area_ranked,area_stratified_ranking,504,0.3,154,199,71,0.35678391959798994,0.461038961038961,1.1892797319933,0.3657142857142857,0.07376884422110552
consep,prototype_seed42,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,area_stratified_ranking,504,0.05,29,199,7,0.035175879396984924,0.2413793103448276,0.7035175879396984,0.40421052631578946,-0.023729172176672808
consep,prototype_seed42,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,area_stratified_ranking,504,0.1,54,199,14,0.07035175879396985,0.25925925925925924,0.7035175879396984,0.4111111111111111,-0.04120603015075375
consep,prototype_seed42,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,area_stratified_ranking,504,0.2,104,199,25,0.12562814070351758,0.2403846153846154,0.6281407035175879,0.435,-0.10170854271356777
consep,prototype_seed42,bad_dice_lt_0.65,boundary_overconfidence_score__area_ranked,area_stratified_ranking,504,0.3,154,199,41,0.20603015075376885,0.2662337662337662,0.6867671691792295,0.4514285714285714,-0.14331658291457283
consep,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score__area_ranked,area_stratified_ranking,504,0.05,29,199,8,0.04020100502512563,0.27586206896551724,0.8040201005025125,0.40210526315789474,-0.01839724940491938
consep,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score__area_ranked,area_stratified_ranking,504,0.1,54,199,16,0.08040201005025126,0.2962962962962963,0.8040201005025125,0.4066666666666667,-0.029949748743718585
consep,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score__area_ranked,area_stratified_ranking,504,0.2,104,199,33,0.1658291457286432,0.3173076923076923,0.829145728643216,0.415,-0.05105527638190943
consep,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score__area_ranked,area_stratified_ranking,504,0.3,154,199,53,0.2663316582914573,0.34415584415584416,0.8877721943048577,0.41714285714285715,-0.05648241206030158
consep,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score__area_ranked,area_stratified_ranking,504,0.05,29,199,9,0.04522613065326633,0.3103448275862069,0.9045226130653267,0.4,-0.013065326633165952
consep,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score__area_ranked,area_stratified_ranking,504,0.1,54,199,16,0.08040201005025126,0.2962962962962963,0.8040201005025125,0.4066666666666667,-0.029949748743718585
consep,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score__area_ranked,area_stratified_ranking,504,0.2,104,199,32,0.16080402010050251,0.3076923076923077,0.8040201005025125,0.4175,-0.05738693467336686
consep,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score__area_ranked,area_stratified_ranking,504,0.3,154,199,50,0.25125628140703515,0.3246753246753247,0.8375209380234505,0.4257142857142857,-0.07819095477386928
consep,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score__area_ranked,area_stratified_ranking,504,0.05,29,199,14,0.07035175879396985,0.4827586206896552,1.4070351758793969,0.3894736842105263,0.013594287225601631
consep,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score__area_ranked,area_stratified_ranking,504,0.1,54,199,26,0.1306532663316583,0.48148148148148145,1.306532663316583,0.3844444444444444,0.02633165829145734
consep,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score__area_ranked,area_stratified_ranking,504,0.2,104,199,46,0.23115577889447236,0.4423076923076923,1.1557788944723617,0.3825,0.03125628140703507
consep,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score__area_ranked,area_stratified_ranking,504,0.3,154,199,59,0.2964824120603015,0.38311688311688313,0.9882747068676717,0.4,-0.013065326633165952
consep,prototype_seed42,bad_dice_lt_0.65,topology_risk_score__area_ranked,area_stratified_ranking,504,0.05,29,199,17,0.08542713567839195,0.5862068965517241,1.708542713567839,0.3831578947368421,0.029590055540862248
consep,prototype_seed42,bad_dice_lt_0.65,topology_risk_score__area_ranked,area_stratified_ranking,504,0.1,54,199,32,0.16080402010050251,0.5925925925925926,1.608040201005025,0.3711111111111111,0.060100502512562826
consep,prototype_seed42,bad_dice_lt_0.65,topology_risk_score__area_ranked,area_stratified_ranking,504,0.2,104,199,60,0.3015075376884422,0.5769230769230769,1.507537688442211,0.3475,0.11989949748743722
consep,prototype_seed42,bad_dice_lt_0.65,topology_risk_score__area_ranked,area_stratified_ranking,504,0.3,154,199,81,0.40703517587939697,0.525974025974026,1.35678391959799,0.33714285714285713,0.14613065326633168
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score__area_ranked,area_stratified_ranking,504,0.05,29,199,17,0.08542713567839195,0.5862068965517241,1.708542713567839,0.3831578947368421,0.029590055540862248
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score__area_ranked,area_stratified_ranking,504,0.1,54,199,30,0.1507537688442211,0.5555555555555556,1.507537688442211,0.37555555555555553,0.04884422110552766
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score__area_ranked,area_stratified_ranking,504,0.2,104,199,57,0.2864321608040201,0.5480769230769231,1.4321608040201006,0.355,0.10090452261306537
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score__area_ranked,area_stratified_ranking,504,0.3,154,199,82,0.4120603015075377,0.5324675324675324,1.373534338358459,0.3342857142857143,0.15336683417085417
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score__area_ranked,area_stratified_ranking,504,0.05,29,199,13,0.06532663316582915,0.4482758620689655,1.306532663316583,0.391578947368421,0.008262364453848203
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score__area_ranked,area_stratified_ranking,504,0.1,54,199,24,0.12060301507537688,0.4444444444444444,1.2060301507537687,0.3888888888888889,0.015075376884422065
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score__area_ranked,area_stratified_ranking,504,0.2,104,199,50,0.25125628140703515,0.4807692307692308,1.2562814070351758,0.3725,0.05658291457286424
consep,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score__area_ranked,area_stratified_ranking,504,0.3,154,199,68,0.3417085427135678,0.44155844155844154,1.1390284757118927,0.3742857142857143,0.05206030150753771
consep,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,126,7,0.05555555555555555,0.2692307692307692,1.111111111111111,0.2489539748953975,0.004184100418409997
consep,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,126,11,0.0873015873015873,0.21568627450980393,0.8730158730158729,0.25386313465783666,-0.015452538631346657
consep,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,126,19,0.15079365079365079,0.18811881188118812,0.7539682539682538,0.2655086848635236,-0.06203473945409432
consep,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,126,33,0.2619047619047619,0.21710526315789475,0.8730158730158731,0.26420454545454547,-0.05681818181818188
consep,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,126,12,0.09523809523809523,0.46153846153846156,1.9047619047619047,0.2384937238493724,0.046025104602510414
consep,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,126,20,0.15873015873015872,0.39215686274509803,1.5873015873015872,0.23399558498896247,0.0640176600441501
consep,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,126,34,0.2698412698412698,0.33663366336633666,1.349206349206349,0.228287841191067,0.08684863523573205
consep,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,126,44,0.3492063492063492,0.2894736842105263,1.164021164021164,0.23295454545454544,0.06818181818181823
consep,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.05,26,126,10,0.07936507936507936,0.38461538461538464,1.5873015873015872,0.24267782426778242,0.029288702928870314
consep,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.1,51,126,12,0.09523809523809523,0.23529411764705882,0.9523809523809523,0.25165562913907286,-0.0066225165562914245
consep,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.2,101,126,22,0.1746031746031746,0.21782178217821782,0.8730158730158729,0.25806451612903225,-0.032258064516129004
consep,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.3,152,126,31,0.24603174603174602,0.20394736842105263,0.8201058201058201,0.26988636363636365,-0.07954545454545459
consep,prototype_seed42,low_boundary_dice_le_q25,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.05,26,126,12,0.09523809523809523,0.46153846153846156,1.9047619047619047,0.2384937238493724,0.046025104602510414
consep,prototype_seed42,low_boundary_dice_le_q25,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.1,51,126,13,0.10317460317460317,0.2549019607843137,1.0317460317460316,0.24944812362030905,0.002207505518763808
consep,prototype_seed42,low_boundary_dice_le_q25,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.2,101,126,14,0.1111111111111111,0.13861386138613863,0.5555555555555555,0.27791563275434245,-0.11166253101736978
