dataset,model,label,score_a,score_b,hypothesis,budget,n_patches,n_sources,positives,score_a_recall,score_b_recall,recall_diff,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero,dataset_short,model_family,seed,run_prefix
monuseg,prototype_seed123,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,168,14,18,0.6111111111111112,0.7222222222222222,-0.11111111111111105,-0.5,1.0,False,monuseg,proto,123,monuseg_proto_seed123
consep,point_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.21428571428571427,0.15873015873015872,0.05555555555555555,-0.1300108695652174,0.23931623931623933,False,consep,point,42,consep_grid_point_seed42
consep,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,504,14,126,0.1984126984126984,0.2222222222222222,-0.023809523809523808,-0.20689655172413793,0.18840579710144928,False,consep,point,42,consep_grid_point_seed42
consep,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,504,14,126,0.1984126984126984,0.24603174603174602,-0.047619047619047616,-0.1714795918367347,0.044780311923528396,False,consep,point,42,consep_grid_point_seed42
consep,point_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,504,14,126,0.21428571428571427,0.1746031746031746,0.03968253968253968,-0.08001149425287356,0.2083447802197802,False,consep,point,42,consep_grid_point_seed42
consep,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,logistic_l2::sfrm_features,Global features remain competitive for macro-area failures.,0.1,504,14,255,0.2,0.17647058823529413,0.023529411764705882,-0.03226179808841099,0.05844536323051948,False,consep,point,42,consep_grid_point_seed42
consep,point_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,predefined::global_mean_entropy,SFRM improves local boundary-error screening over global mean entropy.,0.1,504,14,126,0.16666666666666666,0.06349206349206349,0.10317460317460317,0.0,0.2737468671679194,False,consep,point,7,consep_grid_point_seed7
consep,point_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,predefined::global_max_entropy,SFRM improves low-boundary-quality screening over global max entropy.,0.1,504,14,126,0.19047619047619047,0.05555555555555555,0.1349206349206349,0.05261208576998052,0.24370260299241647,True,consep,point,7,consep_grid_point_seed7
consep,point_seed7,low_boundary_dice_le_q25,logistic_l2::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for low-boundary-quality screening.,0.1,504,14,126,0.19047619047619047,0.12698412698412698,0.06349206349206349,-0.09340384615384614,0.1770917338709677,False,consep,point,7,consep_grid_point_seed7
consep,point_seed7,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,logistic_l2::global_features,SFRM is compared against a trained global-feature reliability predictor for local boundary-error screening.,0.1,504,14,126,0.16666666666666666,0.2619047619047619,-0.09523809523809526,-0.11812044327792358,0.054066339066339,False,consep,point,7,consep_grid_point_seed7
