dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction,dataset_short,model_family,seed,run_prefix
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.2,34,43,24,0.5581395348837209,0.7058823529411765,2.7906976744186043,0.1417910447761194,0.4460256855258591,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.3,51,43,31,0.7209302325581395,0.6078431372549019,2.4031007751937983,0.10256410256410256,0.5992844364937389,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.1,17,43,15,0.3488372093023256,0.8823529411764706,3.488372093023256,0.18543046357615894,0.2755274911443092,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.16417910447761194,0.35855605692467885,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.1,17,43,15,0.3488372093023256,0.8823529411764706,3.488372093023256,0.18543046357615894,0.2755274911443092,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.16417910447761194,0.35855605692467885,monuseg,point,42,monuseg_point_seed42
